"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1971","1971","PC","Percentage","0","Units",,,2.497034,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1972","1972","PC","Percentage","0","Units",,,4.869923,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1973","1973","PC","Percentage","0","Units",,,3.051611,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1974","1974","PC","Percentage","0","Units",,,2.558157,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1975","1975","PC","Percentage","0","Units",,,3.894041,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1976","1976","PC","Percentage","0","Units",,,-0.207155,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1977","1977","PC","Percentage","0","Units",,,6.756135,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1978","1978","PC","Percentage","0","Units",,,5.828297,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1979","1979","PC","Percentage","0","Units",,,1.420442,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1980","1980","PC","Percentage","0","Units",,,2.079147,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1981","1981","PC","Percentage","0","Units",,,2.064785,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1982","1982","PC","Percentage","0","Units",,,1.195973,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1983","1983","PC","Percentage","0","Units",,,-0.955825,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1984","1984","PC","Percentage","0","Units",,,3.644679,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1985","1985","PC","Percentage","0","Units",,,2.736271,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1986","1986","PC","Percentage","0","Units",,,-0.456442,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1987","1987","PC","Percentage","0","Units",,,4.633551,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1988","1988","PC","Percentage","0","Units",,,5.574993,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1989","1989","PC","Percentage","0","Units",,,6.446993,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1990","1990","PC","Percentage","0","Units",,,8.590278,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1991","1991","PC","Percentage","0","Units",,,1.35148,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1992","1992","PC","Percentage","0","Units",,,2.500249,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1993","1993","PC","Percentage","0","Units",,,2.146678,,
