"COUNTRY","Country","VARIABLE","Variable","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1994-01","Jan-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,41,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1994-02","Feb-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,41.8,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1994-03","Mar-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,43.8,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1994-04","Apr-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,40.6,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1994-05","May-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,44,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1994-06","Jun-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,44.5,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1994-07","Jul-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,44.5,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1994-08","Aug-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,49.2,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1994-09","Sep-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,49.3,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1994-10","Oct-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,53,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1994-11","Nov-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,59.4,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1994-12","Dec-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,58.3,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1995-01","Jan-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,46,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1995-02","Feb-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,45,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1995-03","Mar-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,53,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1995-04","Apr-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,49,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1995-05","May-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,52,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1995-06","Jun-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,44,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1995-07","Jul-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,46,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1995-08","Aug-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,46,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1995-09","Sep-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,44,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1995-10","Oct-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,51,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1995-11","Nov-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,68,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1995-12","Dec-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,58,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1996-01","Jan-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,46.5,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1996-02","Feb-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,43.7,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1996-03","Mar-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,46.6,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1996-04","Apr-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,48.9,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1996-05","May-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,58.3,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1996-06","Jun-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,49.8,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1996-07","Jul-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,46.1,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1996-08","Aug-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,42.4,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1996-09","Sep-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,42.8,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1996-10","Oct-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,50.4,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1996-11","Nov-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,47.8,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1996-12","Dec-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,46.5,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1997-01","Jan-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,41.5,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1997-02","Feb-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,38.2,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1997-03","Mar-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,39.2,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1997-04","Apr-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,39.4,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1997-05","May-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,43,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1997-06","Jun-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,41.3,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1997-07","Jul-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,36.8,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1997-08","Aug-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,37.1,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1997-09","Sep-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,46.5,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1997-10","Oct-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,49,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1997-11","Nov-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,69,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1997-12","Dec-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,41,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1998-01","Jan-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,29.8,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1998-02","Feb-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,36.2,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1998-03","Mar-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,35.8,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1998-04","Apr-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,36,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1998-05","May-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,39.1,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1998-06","Jun-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,35.5,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1998-07","Jul-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,33.3,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1998-08","Aug-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,35,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1998-09","Sep-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,37,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1998-10","Oct-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,48,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1998-11","Nov-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,53,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1998-12","Dec-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,47,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1999-01","Jan-1999","TONNEKM","Tonnes-kilometres","6","Millions",,,32,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1999-02","Feb-1999","TONNEKM","Tonnes-kilometres","6","Millions",,,39,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1999-03","Mar-1999","TONNEKM","Tonnes-kilometres","6","Millions",,,58,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1999-04","Apr-1999","TONNEKM","Tonnes-kilometres","6","Millions",,,41,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1999-05","May-1999","TONNEKM","Tonnes-kilometres","6","Millions",,,44,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1999-06","Jun-1999","TONNEKM","Tonnes-kilometres","6","Millions",,,42,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1999-07","Jul-1999","TONNEKM","Tonnes-kilometres","6","Millions",,,43,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1999-08","Aug-1999","TONNEKM","Tonnes-kilometres","6","Millions",,,38,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1999-09","Sep-1999","TONNEKM","Tonnes-kilometres","6","Millions",,,39,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1999-10","Oct-1999","TONNEKM","Tonnes-kilometres","6","Millions",,,43,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1999-11","Nov-1999","TONNEKM","Tonnes-kilometres","6","Millions",,,52,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","1999-12","Dec-1999","TONNEKM","Tonnes-kilometres","6","Millions",,,56,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2000-01","Jan-2000","TONNEKM","Tonnes-kilometres","6","Millions",,,35,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2000-02","Feb-2000","TONNEKM","Tonnes-kilometres","6","Millions",,,42,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2000-03","Mar-2000","TONNEKM","Tonnes-kilometres","6","Millions",,,44,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2000-04","Apr-2000","TONNEKM","Tonnes-kilometres","6","Millions",,,43,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2000-05","May-2000","TONNEKM","Tonnes-kilometres","6","Millions",,,46,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2000-06","Jun-2000","TONNEKM","Tonnes-kilometres","6","Millions",,,35,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2000-07","Jul-2000","TONNEKM","Tonnes-kilometres","6","Millions",,,26,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2000-08","Aug-2000","TONNEKM","Tonnes-kilometres","6","Millions",,,30,,
