"COUNTRY","Country","VARIABLE","Variable","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1994-01","Jan-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,1908,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1994-02","Feb-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,2007,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1994-03","Mar-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,2416,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1994-04","Apr-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,2174,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1994-05","May-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,1902,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1994-06","Jun-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,2098,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1994-07","Jul-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,2224,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1994-08","Aug-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,2009,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1994-09","Sep-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,2051,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1994-10","Oct-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,2457,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1994-11","Nov-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,2390,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1994-12","Dec-1994","TONNEKM","Tonnes-kilometres","6","Millions",,,2310,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1995-01","Jan-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,1545,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1995-02","Feb-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,1531,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1995-03","Mar-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,1802,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1995-04","Apr-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,2055,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1995-05","May-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,1844,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1995-06","Jun-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,1967,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1995-07","Jul-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,1991,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1995-08","Aug-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,1816,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1995-09","Sep-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,2232,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1995-10","Oct-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,2353,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1995-11","Nov-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,2303,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1995-12","Dec-1995","TONNEKM","Tonnes-kilometres","6","Millions",,,2257,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1996-01","Jan-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,1874,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1996-02","Feb-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,2111,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1996-03","Mar-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,2298,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1996-04","Apr-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,2105,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1996-05","May-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,1875,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1996-06","Jun-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,1901,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1996-07","Jul-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,2046,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1996-08","Aug-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,1874,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1996-09","Sep-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,2104,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1996-10","Oct-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,2367,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1996-11","Nov-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,2299,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1996-12","Dec-1996","TONNEKM","Tonnes-kilometres","6","Millions",,,2136,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1997-01","Jan-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,1879,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1997-02","Feb-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,2012,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1997-03","Mar-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,2369,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1997-04","Apr-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,2092,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1997-05","May-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,1923,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1997-06","Jun-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,1920,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1997-07","Jul-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,2065,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1997-08","Aug-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,1867,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1997-09","Sep-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,2121,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1997-10","Oct-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,2341,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1997-11","Nov-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,2163,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1997-12","Dec-1997","TONNEKM","Tonnes-kilometres","6","Millions",,,2168,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1998-01","Jan-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,1834,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1998-02","Feb-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,1912,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1998-03","Mar-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,2211,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1998-04","Apr-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,2038,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1998-05","May-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,1739,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1998-06","Jun-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,1831,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1998-07","Jul-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,1941,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1998-08","Aug-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,1620,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1998-09","Sep-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,1755,,
"JPN","Japan","Q-RL-GOOD-TOT","Total rail freight transport","1998-10","Oct-1998","TONNEKM","Tonnes-kilometres","6","Millions",,,2182,,
