
"COUNTRY","Country","VARIABLE","Variable","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","Q-RL-PASS-TOT","Total rail passenger transport","1994-01","Jan-1994","PKM","Passenger-kilometres","6","Millions",,,33162,,
"JPN","Japan","Q-RL-PASS-TOT","Total rail passenger transport","1994-02","Feb-1994","PKM","Passenger-kilometres","6","Millions",,,29890,,
"JPN","Japan","Q-RL-PASS-TOT","Total rail passenger transport","1994-03","Mar-1994","PKM","Passenger-kilometres","6","Millions",,,32379,,
"JPN","Japan","Q-RL-PASS-TOT","Total rail passenger transport","1994-04","Apr-1994","PKM","Passenger-kilometres","6","Millions",,,35944,,
"JPN","Japan","Q-RL-PASS-TOT","Total rail passenger transport","1994-05","May-1994","PKM","Passenger-kilometres","6","Millions",,,35072,,
"JPN","Japan","Q-RL-PASS-TOT","Total rail passenger transport","1994-06","Jun-1994","PKM","Passenger-kilometres","6","Millions",,,33676,,
"JPN","Japan","Q-RL-PASS-TOT","Total rail passenger transport","1994-07","Jul-1994","PKM","Passenger-kilometres","6","Millions",,,34636,,
"JPN","Japan","Q-RL-PASS-TOT","Total rail passenger transport","1994-08","Aug-1994","PKM","Passenger-kilometres","6","Millions",,,33786,,
"JPN","Japan","Q-RL-PASS-TOT","Total rail passenger transport","1994-09","Sep-1994","PKM","Passenger-kilometres","6","Millions",,,32202,,
"JPN","Japan","Q-RL-PASS-TOT","Total rail passenger transport","1994-10","Oct-1994","PKM","Passenger-kilometres","6","Millions",,,36398,,
"JPN","Japan","Q-RL-PASS-TOT","Total rail passenger transport","1994-11","Nov-1994","PKM","Passenger-kilometres","6","Millions",,,33953,,
"JPN","Japan","Q-RL-PASS-TOT","Total rail passenger transport","1994-12","Dec-1994","PKM","Passenger-kilometres","6","Millions",,,31413,,
